,fpath,size,date_created,date_modified
37,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171008_204213.jpg,1363807.0,Sun Oct 29 00:17:25 2017,Sun Oct 08 17:12:13 2017
38,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171008_204728.jpg,1526130.0,Sun Oct 29 00:17:25 2017,Sun Oct 08 17:17:28 2017
39,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171008_204758.jpg,1351434.0,Sun Oct 29 00:17:25 2017,Sun Oct 08 17:17:58 2017
40,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171011_192348.jpg,1535101.0,Sun Oct 29 00:17:26 2017,Wed Oct 11 15:53:48 2017
41,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171011_192415.jpg,1393908.0,Sun Oct 29 00:17:26 2017,Wed Oct 11 15:54:15 2017
42,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171017_014812.jpg,1774809.0,Sun Oct 29 00:17:26 2017,Mon Oct 16 22:18:12 2017
43,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171017_014816.jpg,2009089.0,Sun Oct 29 00:17:26 2017,Mon Oct 16 22:18:16 2017
44,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171017_014820.jpg,2019867.0,Sun Oct 29 00:17:27 2017,Mon Oct 16 22:18:20 2017
45,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171017_014849.jpg,1814594.0,Sun Oct 29 00:17:27 2017,Mon Oct 16 22:18:49 2017
46,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171017_163814.jpg,2221558.0,Sun Oct 29 00:17:27 2017,Tue Oct 17 13:08:14 2017
47,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171018_014839.jpg,1912072.0,Sun Oct 29 00:17:27 2017,Tue Oct 17 22:18:39 2017
48,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171018_014903.jpg,1915771.0,Sun Oct 29 00:17:27 2017,Tue Oct 17 22:19:03 2017
49,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171018_014926.jpg,2022263.0,Sun Oct 29 00:17:28 2017,Tue Oct 17 22:19:26 2017
50,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171019_014221.jpg,2224400.0,Sun Oct 29 00:17:28 2017,Wed Oct 18 22:12:21 2017
51,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171019_014245.jpg,2288773.0,Sun Oct 29 00:17:28 2017,Wed Oct 18 22:12:45 2017
52,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171019_125019.jpg,2115671.0,Sun Oct 29 00:17:28 2017,Thu Oct 19 09:20:19 2017
53,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171019_125031.jpg,2165132.0,Sun Oct 29 00:17:28 2017,Thu Oct 19 09:20:31 2017
54,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171020_071011.jpg,2253783.0,Sun Oct 29 00:17:29 2017,Fri Oct 20 03:40:12 2017
55,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171020_125851.jpg,2151741.0,Sun Oct 29 00:17:29 2017,Fri Oct 20 09:28:51 2017
56,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171021_060355.jpg,1848515.0,Sun Oct 29 00:17:29 2017,Sat Oct 21 02:33:55 2017
57,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171021_060429.jpg,1975216.0,Sun Oct 29 00:17:29 2017,Sat Oct 21 02:34:29 2017
58,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171021_133613.jpg,2011961.0,Sun Oct 29 00:17:29 2017,Sat Oct 21 10:06:13 2017
59,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171021_133619.jpg,2189832.0,Sun Oct 29 00:17:30 2017,Sat Oct 21 10:06:19 2017
60,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\P_20171029_034413.jpg,1737140.0,Sun Oct 29 00:17:30 2017,Sun Oct 29 00:14:13 2017
61,F:\s4_06_26_2017_to_02_06_2018\10_29_2017\V_20170922_172035.mp4,14641626.0,Sun Oct 29 00:17:16 2017,Fri Sep 22 13:50:44 2017
62,F:\s4_06_26_2017_to_02_06_2018\1_17_2018\P_20171029_034805.jpg,2033563.0,Wed Jan 17 15:41:58 2018,Sun Oct 29 00:18:05 2017
63,F:\s4_06_26_2017_to_02_06_2018\1_17_2018\P_20171029_034821.jpg,1839118.0,Wed Jan 17 15:41:58 2018,Sun Oct 29 00:18:21 2017
64,F:\s4_06_26_2017_to_02_06_2018\1_17_2018\P_20171029_130839.jpg,2045328.0,Wed Jan 17 15:41:58 2018,Sun Oct 29 08:38:39 2017
65,F:\s4_06_26_2017_to_02_06_2018\1_17_2018\P_20171029_130851.jpg,2296535.0,Wed Jan 17 15:41:59 2018,Sun Oct 29 08:38:51 2017
66,F:\s4_06_26_2017_to_02_06_2018\1_17_2018\P_20171101_134850.jpg,2333269.0,Wed Jan 17 15:41:59 2018,Wed Nov 01 09:18:50 2017
67,F:\s4_06_26_2017_to_02_06_2018\1_17_2018\P_20171101_135042.jpg,1913150.0,Wed Jan 17 15:41:59 2018,Wed Nov 01 09:20:42 2017
