,fpath,size,date_created,date_modified
296,S:\pylogger\12_29_2015\momb.csv,202.0,Thu Aug 18 07:55:58 2016,Tue Dec 29 12:39:59 2015
297,S:\pylogger\12_29_2015\nrop.csv,212.0,Thu Aug 18 07:55:58 2016,Tue Dec 29 13:22:52 2015
298,S:\pylogger\12_29_2015\reg.csv,34.0,Thu Aug 18 07:55:58 2016,Tue Dec 29 12:52:53 2015
299,S:\pylogger\12_29_2015\sab.csv,452.0,Thu Aug 18 07:55:58 2016,Tue Dec 29 17:48:21 2015
300,S:\pylogger\12_29_2015\sem.csv,543.0,Thu Aug 18 07:55:58 2016,Tue Dec 29 13:11:54 2015
301,S:\pylogger\12_30_2015\adp.csv,104.0,Thu Aug 18 07:55:58 2016,Wed Dec 30 18:29:42 2015
302,S:\pylogger\12_30_2015\aud.csv,11319.0,Thu Aug 18 07:55:58 2016,Wed Dec 30 19:29:13 2015
303,S:\pylogger\12_30_2015\escl.csv,212.0,Thu Aug 18 07:55:58 2016,Wed Dec 30 19:19:15 2015
304,S:\pylogger\12_30_2015\log.csv,145.0,Thu Aug 18 07:55:58 2016,Tue Dec 29 20:05:42 2015
305,S:\pylogger\12_30_2015\nrop.csv,178.0,Thu Aug 18 07:55:58 2016,Tue Dec 29 21:33:13 2015
306,S:\pylogger\12_30_2015\sab.csv,378.0,Thu Aug 18 07:55:58 2016,Wed Dec 30 00:03:43 2015
307,S:\pylogger\12_31_2015\adp.csv,920.0,Thu Aug 18 07:55:59 2016,Thu Dec 31 19:06:41 2015
308,S:\pylogger\12_31_2015\aud.csv,35062.0,Thu Aug 18 07:55:59 2016,Thu Dec 31 19:26:50 2015
309,S:\pylogger\12_31_2015\cds.csv,75.0,Thu Aug 18 07:55:59 2016,Wed Dec 30 19:34:26 2015
310,S:\pylogger\12_31_2015\dadb.csv,157.0,Thu Aug 18 07:55:59 2016,Thu Dec 31 18:07:30 2015
311,S:\pylogger\12_31_2015\escl.csv,262.0,Thu Aug 18 07:55:59 2016,Thu Dec 31 19:10:58 2015
312,S:\pylogger\12_31_2015\log.csv,143.0,Thu Aug 18 07:55:59 2016,Thu Dec 31 01:56:12 2015
313,S:\pylogger\12_31_2015\momb.csv,68.0,Thu Aug 18 07:55:59 2016,Thu Dec 31 11:00:28 2015
314,S:\pylogger\12_31_2015\nrop.csv,270.0,Thu Aug 18 07:55:59 2016,Thu Dec 31 19:24:03 2015
315,S:\pylogger\12_31_2015\sab.csv,165.0,Thu Aug 18 07:55:59 2016,Thu Dec 31 17:24:34 2015
316,S:\pylogger\12_31_2015\sem.csv,177.0,Thu Aug 18 07:55:59 2016,Wed Dec 30 23:34:08 2015
