,fpath,size,date_created,date_modified
38,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0039.MOV,5998475.0,Sat May 13 22:49:24 2017,Sat May 13 13:02:14 2017
39,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0040.MOV,30348427.0,Sat May 13 22:49:24 2017,Sat May 13 13:06:04 2017
40,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0041.MOV,15535291.0,Sat May 13 22:49:26 2017,Sat May 13 13:08:44 2017
41,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0042.MOV,11733659.0,Sat May 13 22:49:27 2017,Sat May 13 13:12:12 2017
42,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0043.MOV,26251887.0,Sat May 13 22:49:27 2017,Sat May 13 13:12:38 2017
43,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0044.MOV,14093287.0,Sat May 13 22:49:29 2017,Sat May 13 13:13:34 2017
44,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0045.MOV,5965715.0,Sat May 13 22:49:29 2017,Sat May 13 13:13:46 2017
45,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0046.MOV,11504103.0,Sat May 13 22:49:30 2017,Sat May 13 13:15:10 2017
46,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0047.MOV,61121803.0,Sat May 13 22:49:30 2017,Sat May 13 13:16:58 2017
47,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0048.MOV,4097675.0,Sat May 13 22:49:33 2017,Sat May 13 13:17:02 2017
48,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0049.MOV,7669883.0,Sat May 13 22:49:33 2017,Sat May 13 13:18:06 2017
49,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0050.MOV,9242947.0,Sat May 13 22:49:34 2017,Sat May 13 13:18:32 2017
50,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0051.MOV,11471475.0,Sat May 13 22:49:34 2017,Sat May 13 13:21:22 2017
51,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0052.MOV,299345087.0,Sat May 13 22:49:34 2017,Sat May 13 13:28:18 2017
52,F:\mobius_05_02_2017_to_02_16_2018\021707_05_14_2017\REC_0053.MOV,25235931.0,Sat May 13 22:49:49 2017,Sat May 13 13:37:34 2017
