,fpath,size,date_created,date_modified
45,S:\camstudio\vids\fifa_lab_emails_fifa_2014_ovw.avi,67136000.0,Sat Aug 20 21:23:33 2016,Fri Feb 12 12:10:08 2016
46,S:\camstudio\vids\friend_deaths_2.avi,4282880.0,Sat Aug 20 21:23:46 2016,Tue Jan 19 23:16:13 2016
47,S:\camstudio\vids\fudge_aud.avi,35546112.0,Sat Aug 20 21:23:47 2016,Tue Jan 05 16:08:06 2016
48,S:\camstudio\vids\fudge_vis.avi,13715456.0,Sat Aug 20 21:23:54 2016,Tue Jan 05 16:13:29 2016
49,S:\camstudio\vids\fudge_vis_high_res.avi,21983232.0,Sat Aug 20 21:23:57 2016,Tue Jan 05 16:21:11 2016
50,S:\camstudio\vids\funk_you.avi,6560256.0,Sat Aug 20 21:24:01 2016,Tue Jan 12 19:06:38 2016
51,S:\camstudio\vids\gerald_sabotage.avi,17026560.0,Sat Aug 20 21:24:03 2016,Sat Mar 12 06:33:36 2016
52,S:\camstudio\vids\google_news_error.avi,10786304.0,Sat Aug 20 21:24:06 2016,Thu Jan 28 19:13:05 2016
53,S:\camstudio\vids\h1b_six_year_legal_research.avi,33733120.0,Sat Aug 20 21:24:09 2016,Thu Jan 28 18:23:09 2016
54,S:\camstudio\vids\harrys.avi,34416128.0,Sat Aug 20 21:24:16 2016,Wed Jan 27 13:16:40 2016
55,S:\camstudio\vids\harrys_HUGE_interruption.avi,21041152.0,Sat Aug 20 21:24:23 2016,Wed Jan 27 13:01:45 2016
56,S:\camstudio\vids\harvard_job.avi,5720576.0,Sat Aug 20 21:24:26 2016,Wed Jan 27 13:40:44 2016
57,S:\camstudio\vids\housing_delhivery_respective_ceos.avi,25201664.0,Sat Aug 20 21:24:28 2016,Tue Jan 12 19:42:28 2016
58,S:\camstudio\vids\india_visa_requirements.avi,7236096.0,Sat Aug 20 21:24:32 2016,Tue Aug 09 11:32:13 2016
59,S:\camstudio\vids\koffee_dd.avi,2865152.0,Sat Aug 20 21:24:34 2016,Tue Jan 12 20:42:19 2016
