,fpath,size,date_created,date_modified
599,T:\mobius2\mobius\175119_04_16_2017\REC_0014.MOV,41392783.0,Thu May 04 15:26:16 2017,Sat Apr 15 09:31:36 2017
600,T:\mobius2\mobius\175119_04_16_2017\REC_0015.MOV,12323583.0,Thu May 04 15:26:21 2017,Sat Apr 15 09:31:44 2017
601,T:\mobius2\mobius\175119_04_16_2017\REC_0016.MOV,15568059.0,Thu May 04 15:26:23 2017,Sat Apr 15 09:32:02 2017
602,T:\mobius2\mobius\175119_04_16_2017\REC_0017.MOV,26677915.0,Thu May 04 15:26:24 2017,Sat Apr 15 09:32:46 2017
603,T:\mobius2\mobius\175119_04_16_2017\REC_0018.MOV,13273979.0,Thu May 04 15:26:27 2017,Sat Apr 15 09:33:14 2017
604,T:\mobius2\mobius\175119_04_16_2017\REC_0019.MOV,6883343.0,Thu May 04 15:26:29 2017,Sat Apr 15 09:37:10 2017
605,T:\mobius2\mobius\175119_04_16_2017\REC_0020.MOV,19861247.0,Thu May 04 15:26:30 2017,Sat Apr 15 09:43:30 2017
606,T:\mobius2\mobius\175119_04_16_2017\REC_0021.MOV,7669875.0,Thu May 04 15:26:32 2017,Sat Apr 15 09:43:38 2017
607,T:\mobius2\mobius\175119_04_16_2017\REC_0022.MOV,26448507.0,Thu May 04 15:26:33 2017,Sat Apr 15 09:44:06 2017
608,T:\mobius2\mobius\175119_04_16_2017\REC_0023.MOV,7833755.0,Thu May 04 15:26:36 2017,Sat Apr 15 09:46:52 2017
609,T:\mobius2\mobius\175119_04_16_2017\REC_0024.MOV,7047183.0,Thu May 04 15:26:37 2017,Sat Apr 15 09:49:42 2017
610,T:\mobius2\mobius\175119_04_16_2017\REC_0025.MOV,10881583.0,Thu May 04 15:26:39 2017,Sat Apr 15 10:06:08 2017
611,T:\mobius2\mobius\175119_04_16_2017\REC_0026.MOV,26448507.0,Thu May 04 15:26:39 2017,Sat Apr 15 10:06:32 2017
612,T:\mobius2\mobius\175119_04_16_2017\REC_0027.MOV,7211051.0,Thu May 04 15:26:43 2017,Sat Apr 15 10:06:38 2017
613,T:\mobius2\mobius\175119_04_16_2017\REC_0028.MOV,10291679.0,Thu May 04 15:26:44 2017,Sat Apr 15 10:07:06 2017
