,fpath,size,date_created,date_modified
0,S:\10_6_2016\env\20161002_233741.jpg,3186362.0,Sun Oct 09 00:03:50 2016,Mon Oct 03 05:37:41 2016
1,S:\10_6_2016\env\20161002_233744.jpg,3453872.0,Sun Oct 09 00:03:50 2016,Mon Oct 03 05:37:44 2016
2,S:\10_6_2016\env\20161002_233748.jpg,3868079.0,Sun Oct 09 00:03:51 2016,Mon Oct 03 05:37:48 2016
3,S:\10_6_2016\env\20161002_233756.jpg,3080628.0,Sun Oct 09 00:03:51 2016,Mon Oct 03 05:37:56 2016
4,S:\10_6_2016\env\20161002_233802.jpg,3119629.0,Sun Oct 09 00:03:51 2016,Mon Oct 03 05:38:02 2016
5,S:\10_6_2016\env\20161002_233806.jpg,3668722.0,Sun Oct 09 00:03:52 2016,Mon Oct 03 05:38:06 2016
6,S:\10_6_2016\env\20161002_233809.jpg,3364282.0,Sun Oct 09 00:03:52 2016,Mon Oct 03 05:38:09 2016
7,S:\10_6_2016\env\20161002_233816.jpg,2900183.0,Sun Oct 09 00:03:52 2016,Mon Oct 03 05:38:16 2016
8,S:\10_6_2016\env\20161002_233819.jpg,3198299.0,Sun Oct 09 00:03:53 2016,Mon Oct 03 05:38:19 2016
9,S:\10_6_2016\env\20161002_233822.jpg,3448598.0,Sun Oct 09 00:03:53 2016,Mon Oct 03 05:38:22 2016
10,S:\10_6_2016\env\20161002_233829.jpg,3229177.0,Sun Oct 09 00:03:53 2016,Mon Oct 03 05:38:29 2016
11,S:\10_6_2016\env\20161002_233832.jpg,3674622.0,Sun Oct 09 00:03:53 2016,Mon Oct 03 05:38:32 2016
12,S:\10_6_2016\env\20161002_233836.jpg,3958855.0,Sun Oct 09 00:03:54 2016,Mon Oct 03 05:38:36 2016
13,S:\10_6_2016\env\20161002_233839.jpg,3058115.0,Sun Oct 09 00:03:54 2016,Mon Oct 03 05:38:40 2016
14,S:\10_6_2016\env\20161002_233848.jpg,3435473.0,Sun Oct 09 00:03:54 2016,Mon Oct 03 05:38:48 2016
15,S:\10_6_2016\env\20161002_233911.jpg,2489811.0,Sun Oct 09 00:03:55 2016,Mon Oct 03 05:39:11 2016
16,S:\10_6_2016\env\20161002_233914.jpg,2792475.0,Sun Oct 09 00:03:55 2016,Mon Oct 03 05:39:14 2016
17,S:\10_6_2016\env\20161002_233917.jpg,2685573.0,Sun Oct 09 00:03:55 2016,Mon Oct 03 05:39:18 2016
18,S:\10_6_2016\env\20161002_233921.jpg,2535176.0,Sun Oct 09 00:03:55 2016,Mon Oct 03 05:39:21 2016
19,S:\10_6_2016\env\20161002_233924.jpg,2227353.0,Sun Oct 09 00:03:56 2016,Mon Oct 03 05:39:24 2016
20,S:\10_6_2016\env\20161002_233931.jpg,3235097.0,Sun Oct 09 00:03:56 2016,Mon Oct 03 05:39:31 2016
21,S:\10_6_2016\env\20161002_233934.jpg,3098329.0,Sun Oct 09 00:03:56 2016,Mon Oct 03 05:39:35 2016
22,S:\10_6_2016\env\20161002_233938.jpg,3070036.0,Sun Oct 09 00:03:56 2016,Mon Oct 03 05:39:38 2016
23,S:\10_6_2016\env\20161002_233941.jpg,2867678.0,Sun Oct 09 00:03:57 2016,Mon Oct 03 05:39:41 2016
24,S:\10_6_2016\env\20161002_233944.jpg,2613941.0,Sun Oct 09 00:03:57 2016,Mon Oct 03 05:39:44 2016
25,S:\10_6_2016\env\20161003_024703.jpg,2889524.0,Sun Oct 09 00:03:57 2016,Mon Oct 03 08:47:03 2016
26,S:\10_6_2016\env\20161003_024706.jpg,3340005.0,Sun Oct 09 00:03:57 2016,Mon Oct 03 08:47:06 2016
27,S:\10_6_2016\env\20161003_024708.jpg,3585327.0,Sun Oct 09 00:03:58 2016,Mon Oct 03 08:47:09 2016
28,S:\10_6_2016\env\20161003_024712.jpg,3194503.0,Sun Oct 09 00:03:58 2016,Mon Oct 03 08:47:12 2016
29,S:\10_6_2016\env\20161003_024715.jpg,1921740.0,Sun Oct 09 00:03:58 2016,Mon Oct 03 08:47:15 2016
30,S:\10_6_2016\env\20161003_024719.jpg,2765237.0,Sun Oct 09 00:03:59 2016,Mon Oct 03 08:47:19 2016
31,S:\10_6_2016\env\20161003_024722.jpg,3288893.0,Sun Oct 09 00:03:59 2016,Mon Oct 03 08:47:22 2016
