,ID,NAME,SNO
0,220004,712069,1
1,220012,691228,2
2,220036,146367,3
3,220052,990100,4
4,220071,119120,5
5,220072,117466,6
6,220081,118108,7
7,220084,701051,8
8,220093,114816,9
9,220096,886659,10
10,220105,410999,11
11,220110,468710,12
12,220112,696547,13
13,220113,516866,14
14,220125,874977,15
15,220127,118104,16
16,220133,120107,17
17,220137,841121,18
18,220160,781088,19
19,220165,990110,20
20,220170,781027,21
21,220171,115468,22
22,220187,810066,23
23,220192,866771,24
24,220193,811218,25
25,220194,611112,26
26,220196,106700,27
27,220203,512277,28
28,220214,758410,29
29,220226,719974,30
30,220227,120771,31
31,220229,105102,32
32,220232,751711,33
33,220244,881056,34
34,220245,106739,35
35,220248,106121,36
36,220250,816539,37
37,220270,706789,38
38,220272,105472,39
39,220277,107100,40
40,220285,747167,41
41,220318,488113,42
42,220328,661056,43
43,220334,105085,44
44,220336,688831,45
45,220337,105109,46
46,220348,470814,47
47,220366,658680,48
48,220391,116100,49
49,220396,105105,50
50,220397,901216,51
51,220404,711128,52
52,220417,114100,53
53,220424,104610,54
54,220435,876872,55
55,220438,861202,56
56,220439,901081,57
57,220444,109122,58
58,220445,729031,59
59,220446,789989,60
60,220451,997731,61
61,220459,787911,62
62,220460,691131,63
63,220464,871131,64
64,220472,970115,65
65,220482,671098,66
66,220496,268110,67
67,220510,115107,68
68,220515,981099,69
69,220524,759777,70
70,220525,121842,71
71,220530,114585,72
72,220533,657711,73
73,220544,909911,74
74,220546,797410,75
75,220548,811144,76
76,220551,861019,77
77,220553,661011,78
78,220559,856610,79
79,220561,811546,80
80,220567,671208,81
81,220571,116111,82
82,220572,791151,83
83,220574,816911,84
84,220576,988076,85
85,220579,289857,86
86,220580,122761,87
87,220585,100798,88
88,220591,671058,89
89,220597,810977,90
90,220599,352821,91
91,220600,116111,92
92,220601,122691,93
93,220605,808381,94
94,220606,9887,95
95,220607,119109,96
96,220613,106115,97
97,220617,115384,98
98,220618,906879,99
99,220621,908511,100
100,220624,891021,101
101,220626,311858,102
102,220632,741131,103
103,220637,668779,104
104,220651,115210,105
105,220655,881031,106
106,220667,909771,107
107,220679,110986,108
108,220700,121100,109
109,220710,108468,110
110,220727,112102,111
111,220730,570970,112
112,220734,777110,113
113,220735,102846,114
114,220751,107120,115
115,220756,658266,116
116,220764,101120,117
117,220768,741051,118
118,220773,114114,119
119,220775,912210,120
120,220781,101821,121
121,220788,117115,122
122,220806,104858,123
123,220809,121461,124
124,220814,738975,125
125,220838,120610,126
126,220848,118117,127
127,220856,702771,128
128,220863,115103,129
129,220887,12286,130
130,220888,111389,131
131,220895,881186,132
132,220911,111115,133
133,220914,464610,134
134,220919,388372,135
135,220925,101102,136
136,220926,813117,137
137,220939,107768,138
138,220941,969117,139
139,220953,651208,140
140,220967,777710,141
141,220968,661198,142
142,220978,122112,143
143,220984,115981,144
144,220985,383104,145
145,220993,997110,146
146,220996,466657,147
147,221009,115860,148
148,221013,678942,149
149,221014,827606,150
150,221034,115111,151
151,221045,712273,152
152,221065,808273,153
153,221074,102701,154
154,221078,114113,155
155,221086,988367,156
156,221089,411197,157
157,221092,8175,158
158,221094,711057,159
159,221112,708410,160
160,221113,105275,161
161,221114,118117,162
162,221121,410511,163
163,221123,651018,164
164,221124,103103,165
165,221139,731006,166
166,221140,781036,167
167,221151,836511,168
168,221152,118801,169
169,221153,767651,170
170,221154,681028,171
171,221161,104461,172
172,221163,778969,173
173,221179,577311,174
174,221181,116991,175
175,221192,701188,176
176,221193,697084,177
177,221198,511110,178
